video_id,comments_disabled,ratings_disabled,video_error_or_removed,likes_log,label,dislikes_log,comment_log,num_tags,desc_len,len_title,country_CA,country_FR,country_IN,country_US,category_Autos & Vehicles,category_Comedy,category_Education,category_Entertainment,category_Film & Animation,category_Gaming,category_Howto & Style,category_Movies,category_Music,category_News & Politics,category_Nonprofits & Activism,category_People & Blogs,category_Pets & Animals,category_Science & Technology,category_Shows,category_Sports,category_Trailers,category_Travel & Events,publish_weekday_1,publish_weekday_2,publish_weekday_3,publish_weekday_4,publish_weekday_5,publish_weekday_6,publish_weekday_7
y6YY8-k9Cwg,False,False,False,8.880724576151456,11.54481165383255,4.5217885770490405,6.616065185132817,25,1600,48,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1WTtrHW7uw8,False,False,False,7.179307969504034,11.923756152576804,6.2324480165505225,6.608000625296087,24,508,74,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
w5qMOyPuUqU,False,False,False,7.050122520269059,12.047709773530876,5.187385805840755,5.117993812416755,14,3172,51,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4tEqzEo5uKY,False,False,False,6.7912214627261855,11.263040015213011,4.330733340286331,3.80666248977032,18,1277,99,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3d7NjfTziNM,False,False,False,9.566755282109057,13.56686584852483,6.19644412779452,6.92951677076365,10,406,40,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
8vBjlhp73hU,False,False,False,6.298949246855942,11.94796879260715,2.772588722239781,2.772588722239781,29,88,100,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
WPuhu6dYyQY,False,False,False,6.844815479208263,12.978617710525214,5.700443573390687,4.787491742782046,29,3087,64,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
XjF2n3NaoSk,False,False,False,8.702842538302868,13.841121772900534,5.459585514144159,5.638354669333745,18,295,91,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
ozZ8HpIBsGw,False,False,False,11.69766077298812,14.186549839057422,8.042056410058754,8.10076824307173,16,2049,70,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
RWTutjJA1I4,False,False,False,3.5263605246161616,11.447458512974078,1.791759469228055,2.3978952727983707,11,1627,33,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
